representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_datasets_in_run,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,BRCA_GSE161529,13,6000,10,0,0.7013258875645817,0.7013258875645817,0.705
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,BRCA_GSE176078,13,6000,9,0,0.6666334046483736,0.6666334046483736,0.6605
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.7219142832251177,0.7219142832251177,0.6031567080045096
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,CRC_GSE108989,13,2184,3,0,0.4237901040885495,0.4237901040885495,0.45695970695970695
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,CRC_GSE146771_10X,13,6000,7,0,0.8392561352492154,0.8392561352492154,0.8456666666666667
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,HNSC_GSE103322,13,1176,8,0,0.4183772546654592,0.4183772546654592,0.5357142857142857
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,LIHC_GSE140228_10X,13,5999,9,0,0.7614887361197469,0.7614887361197469,0.7654609101516919
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,LIHC_GSE98638,13,960,3,0,0.41001643292526885,0.41001643292526885,0.440625
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,NSCLC_GSE127465,13,6000,12,0,0.7697998802267693,0.7697998802267693,0.8121666666666667
geneformer,S1_within_dataset__seed2.parquet,S1_within_dataset,,5,0,70,100.0,5,70,768,4.15,0.729656575122956,0.729656575122956,NSCLC_GSE131907,13,6007,10,0,0.7084180462754252,0.7084180462754252,0.689195938072249
