dataset,cells,shards,seconds
BRCA_GSE161529,30000,6,307.0
BRCA_GSE176078,30003,7,323.0
CHOL_GSE125449_aPD1aPDL1aCTLA4,4435,1,46.4
CRC_GSE108989,10921,3,129.1
CRC_GSE146771_10X,30002,7,330.1
HNSC_GSE103322,5884,2,71.7
LIHC_GSE140228_10X,30001,7,336.6
LIHC_GSE98638,4801,1,51.1
NSCLC_GSE127465,30000,6,308.2
NSCLC_GSE131907,30005,7,335.0
PAAD_GSE111672,2263,1,25.6
PAAD_GSE154778,14953,3,160.3
STAD_GSE134520,6533,2,69.8
