scheme,seed,holdout_group,file,n_train,classes_train,datasets_train,n_calibration,classes_calibration,datasets_calibration,n_test,classes_test,datasets_test,classes_learnable,classes_test_only
S3_leave_dataset_out,2,GSE111672,S3_leave_dataset_out__seed2__holdout-GSE111672.parquet,171659,14,9,55879,12,3,2263,7,1,7,0
S3_leave_dataset_out,2,GSE125449,S3_leave_dataset_out__seed2__holdout-GSE125449.parquet,169487,14,9,55879,12,3,4435,8,1,8,0
S3_leave_dataset_out,2,GSE127465,S3_leave_dataset_out__seed2__holdout-GSE127465.parquet,143922,14,9,55879,12,3,30000,12,1,12,0
S3_leave_dataset_out,2,GSE131907,S3_leave_dataset_out__seed2__holdout-GSE131907.parquet,143922,14,9,55874,14,3,30005,10,1,10,0
S3_leave_dataset_out,2,GSE134520,S3_leave_dataset_out__seed2__holdout-GSE134520.parquet,167394,14,9,55874,14,3,6533,6,1,6,0
S3_leave_dataset_out,2,GSE140228,S3_leave_dataset_out__seed2__holdout-GSE140228.parquet,143926,14,9,55874,14,3,30001,9,1,9,0
S3_leave_dataset_out,2,GSE146771,S3_leave_dataset_out__seed2__holdout-GSE146771.parquet,143925,14,9,55874,14,3,30002,7,1,7,0
S3_leave_dataset_out,2,GSE154778,S3_leave_dataset_out__seed2__holdout-GSE154778.parquet,143925,14,9,70923,13,3,14953,6,1,6,0
S3_leave_dataset_out,2,GSE161529,S3_leave_dataset_out__seed2__holdout-GSE161529.parquet,128878,14,9,70923,13,3,30000,10,1,10,0
S3_leave_dataset_out,2,GSE176078,S3_leave_dataset_out__seed2__holdout-GSE176078.parquet,128875,14,9,70923,13,3,30003,9,1,9,0
S3_leave_dataset_out,2,GSE98638,S3_leave_dataset_out__seed2__holdout-GSE98638.parquet,154077,14,9,70923,13,3,4801,3,1,3,0
S3_leave_dataset_out,3,GSE103322,S3_leave_dataset_out__seed3__holdout-GSE103322.parquet,172431,14,9,51486,13,3,5884,8,1,8,0
S3_leave_dataset_out,3,GSE108989,S3_leave_dataset_out__seed3__holdout-GSE108989.parquet,167394,14,9,51486,13,3,10921,3,1,3,0
S3_leave_dataset_out,3,GSE111672,S3_leave_dataset_out__seed3__holdout-GSE111672.parquet,176052,13,9,51486,13,3,2263,7,1,6,1
S3_leave_dataset_out,3,GSE125449,S3_leave_dataset_out__seed3__holdout-GSE125449.parquet,173880,14,9,51486,13,3,4435,8,1,8,0
S3_leave_dataset_out,3,GSE127465,S3_leave_dataset_out__seed3__holdout-GSE127465.parquet,173880,14,9,25921,11,3,30000,12,1,12,0
S3_leave_dataset_out,3,GSE131907,S3_leave_dataset_out__seed3__holdout-GSE131907.parquet,173875,14,9,25921,11,3,30005,10,1,10,0
S3_leave_dataset_out,3,GSE134520,S3_leave_dataset_out__seed3__holdout-GSE134520.parquet,173875,14,9,49393,11,3,6533,6,1,6,0
S3_leave_dataset_out,3,GSE140228,S3_leave_dataset_out__seed3__holdout-GSE140228.parquet,150407,14,9,49393,11,3,30001,9,1,9,0
S3_leave_dataset_out,3,GSE146771,S3_leave_dataset_out__seed3__holdout-GSE146771.parquet,150406,14,9,49393,11,3,30002,7,1,7,0
S3_leave_dataset_out,3,GSE154778,S3_leave_dataset_out__seed3__holdout-GSE154778.parquet,150406,14,9,64442,12,3,14953,6,1,6,0
S3_leave_dataset_out,3,GSE161529,S3_leave_dataset_out__seed3__holdout-GSE161529.parquet,135359,14,9,64442,12,3,30000,10,1,10,0
S3_leave_dataset_out,3,GSE176078,S3_leave_dataset_out__seed3__holdout-GSE176078.parquet,135356,14,9,64442,12,3,30003,9,1,9,0
S3_leave_dataset_out,3,GSE98638,S3_leave_dataset_out__seed3__holdout-GSE98638.parquet,160558,14,9,64442,12,3,4801,3,1,3,0
S3_leave_dataset_out,4,GSE103322,S3_leave_dataset_out__seed4__holdout-GSE103322.parquet,182583,14,9,41334,13,3,5884,8,1,8,0
S3_leave_dataset_out,4,GSE108989,S3_leave_dataset_out__seed4__holdout-GSE108989.parquet,177546,14,9,41334,13,3,10921,3,1,3,0
S3_leave_dataset_out,4,GSE111672,S3_leave_dataset_out__seed4__holdout-GSE111672.parquet,186204,13,9,41334,13,3,2263,7,1,6,1
S3_leave_dataset_out,4,GSE125449,S3_leave_dataset_out__seed4__holdout-GSE125449.parquet,184032,14,9,41334,13,3,4435,8,1,8,0
S3_leave_dataset_out,4,GSE127465,S3_leave_dataset_out__seed4__holdout-GSE127465.parquet,184032,14,9,15769,11,3,30000,12,1,12,0
S3_leave_dataset_out,4,GSE131907,S3_leave_dataset_out__seed4__holdout-GSE131907.parquet,184027,14,9,15769,11,3,30005,10,1,10,0
S3_leave_dataset_out,4,GSE134520,S3_leave_dataset_out__seed4__holdout-GSE134520.parquet,184027,14,9,39241,12,3,6533,6,1,6,0
S3_leave_dataset_out,4,GSE140228,S3_leave_dataset_out__seed4__holdout-GSE140228.parquet,160559,14,9,39241,12,3,30001,9,1,9,0
S3_leave_dataset_out,4,GSE146771,S3_leave_dataset_out__seed4__holdout-GSE146771.parquet,160558,14,9,39241,12,3,30002,7,1,7,0
S3_leave_dataset_out,4,GSE154778,S3_leave_dataset_out__seed4__holdout-GSE154778.parquet,175607,14,9,39241,12,3,14953,6,1,6,0
S3_leave_dataset_out,4,GSE161529,S3_leave_dataset_out__seed4__holdout-GSE161529.parquet,160560,14,9,39241,12,3,30000,10,1,10,0
S3_leave_dataset_out,4,GSE176078,S3_leave_dataset_out__seed4__holdout-GSE176078.parquet,160557,14,9,39241,12,3,30003,9,1,9,0
S3_leave_dataset_out,4,GSE98638,S3_leave_dataset_out__seed4__holdout-GSE98638.parquet,160557,14,9,64443,11,3,4801,3,1,3,0
