representation,silhouette_celltype,silhouette_dataset,ratio_dataset_over_celltype,n_dims
geneformer,0.016559673473238945,0.047217804938554764,2.8513729461429604,768
scgpt,0.035797324031591415,0.02574528008699417,0.7191956601078271,512
hvg_pca,0.0196892861276865,-0.01025880966335535,-0.5210351252364458,100
scvi,0.05929380655288696,-0.03500590845942497,-0.5903805219218223,30
harmony,-0.0010808774968609214,-0.052749380469322205,-48.802367171595925,100
