budget,contrast,n_datasets,spearman_rho,spearman_p,pearson_r,pearson_p,delta_at_lowest_overlap,delta_at_highest_overlap
10,geneformer - hvg_pca,13,-0.34065934065934067,0.2547064607541251,-0.4356003161501167,0.13679671500252022,0.008001253780840045,0.021555169305079058
10,scgpt - hvg_pca,13,-0.13186813186813187,0.6676075762175145,-0.16947251402223468,0.5799189752528423,0.002603935208875252,0.02765028126818969
all,geneformer - hvg_pca,13,0.016483516483516484,0.9573761750901848,-0.1403017104638632,0.6475513362610643,-0.047971245805612184,-0.03013167317885901
all,scgpt - hvg_pca,13,-0.0879120879120879,0.775195408889122,-0.06518785862796762,0.8324356912032078,-0.08869183429085659,0.011745530092097445
