representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_datasets_in_run,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,BRCA_GSE161529,13,6000,10,0,0.6132744598334245,0.6132744598334245,0.6193333333333333
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,BRCA_GSE176078,13,6000,9,0,0.6549652482326151,0.6549652482326151,0.6403333333333333
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.6383153349559655,0.6383153349559655,0.5163472378804961
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,CRC_GSE108989,13,2184,3,0,0.25361361444630515,0.25361361444630515,0.2651098901098901
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,CRC_GSE146771_10X,13,6000,7,0,0.793646688100069,0.793646688100069,0.7888333333333334
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,HNSC_GSE103322,13,1176,8,0,0.2940381915587176,0.2940381915587176,0.4302721088435374
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,LIHC_GSE140228_10X,13,5999,9,0,0.6335937653550515,0.6335937653550515,0.651941990331722
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,LIHC_GSE98638,13,960,3,0,0.13369729456804272,0.13369729456804272,0.16875
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,NSCLC_GSE127465,13,6000,12,0,0.7395504169944965,0.7395504169944965,0.783
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,NSCLC_GSE131907,13,6007,10,0,0.6343660173941255,0.6343660173941255,0.6149492259031131
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,PAAD_GSE111672,13,453,7,0,0.5852434263701868,0.5852434263701868,0.8388520971302428
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,PAAD_GSE154778,13,2989,6,0,0.5594998977845237,0.5594998977845237,0.8293743726998997
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,4.38,0.6648355641991461,0.6648355641991461,STAD_GSE134520,13,1308,6,0,0.5427108998307729,0.5427108998307729,0.5764525993883792
geneformer,S1_within_dataset__seed1.parquet,S1_within_dataset,,5,1,70,0.01,5,70,768,4.57,0.6737898901478222,0.6737898901478222,BRCA_GSE161529,13,6000,10,0,0.6085655319315083,0.6085655319315083,0.6166666666666667
