scheme,budget,contrast,delta_mean_seeds20,ci95_lo_seeds20,ci95_hi_seeds20,p_fdr_seeds20,cohens_dz_seeds20,n_datasets_seeds20,n_datasets_favouring_a_seeds20,delta_mean_seeds5,ci95_lo_seeds5,ci95_hi_seeds5,p_fdr_seeds5,cohens_dz_seeds5,n_datasets_seeds5,n_datasets_favouring_a_seeds5,delta_shift,sign_flip,sig_change
S3_leave_dataset_out,5,geneformer - hvg_pca,-0.052878765844274464,-0.10356922324423012,-0.006759503767367242,0.2197265625,-0.5691430042109691,13,5,-0.05855587433236434,-0.11835545956362857,-0.006037722982954076,0.2197265625,-0.5442096239128326,13,6,-0.005677108488089874,False,False
S3_leave_dataset_out,5,geneformer - scvi,-0.060656482592815406,-0.10742995435461768,-0.02037424495922621,0.0515625,-0.7382182013141251,13,4,-0.06825448708886041,-0.12537279093636045,-0.01900946010854676,0.14828725961538464,-0.6817539258288836,13,5,-0.007598004496045002,False,False
S3_leave_dataset_out,5,geneformer - harmony,0.005249391620351617,-0.050551758763748775,0.0581253449330938,0.8022017045454546,0.05037134199234389,13,8,0.0006678132411170836,-0.06399644634040855,0.06135368811547606,0.946044921875,0.005572028969884089,13,7,-0.004581578379234534,False,False
S3_leave_dataset_out,5,scgpt - hvg_pca,-0.03903314785687235,-0.08860486904936468,0.006181809482298856,0.7826450892857143,-0.4272966118774123,13,6,-0.040928660918940415,-0.09029881154956253,0.004780239739022404,0.6500976562499999,-0.45083214169366154,13,6,-0.0018955130620680674,False,False
S3_leave_dataset_out,5,scgpt - scvi,-0.04681086460541329,-0.0906515567314754,-0.007558214201977263,0.17578125,-0.5925463798683176,13,4,-0.05062727367543648,-0.09685563152872194,-0.007645977637004352,0.17578125,-0.5985372321560679,13,5,-0.0038164090700231884,False,False
S3_leave_dataset_out,5,scgpt - harmony,0.019095009607753732,-0.04036026900206887,0.074550949453862,0.59677734375,0.17278173691418536,13,9,0.018295026654541004,-0.04140683941521826,0.07450321349493277,0.6500976562499999,0.16438108650398361,13,9,-0.0007999829532127287,False,False
S3_leave_dataset_out,10,geneformer - hvg_pca,-0.06404197081396554,-0.10789282808716803,-0.02199744128233529,0.07137784090909091,-0.7788750121152362,13,4,-0.05692123654513611,-0.10004687525776576,-0.016401418836554382,0.14828725961538464,-0.7117321641923817,13,4,0.0071207342688294276,False,False
S3_leave_dataset_out,10,geneformer - scvi,-0.06932315706610512,-0.10534629992682136,-0.03615726669193583,0.00439453125,-1.0516595164370086,13,1,-0.06564663975906743,-0.09947685311309998,-0.03285172476565659,0.013916015625,-1.034623515511163,13,2,0.003676517307037691,False,False
S3_leave_dataset_out,10,geneformer - harmony,-0.01656765865338824,-0.05965870672431814,0.026757270505816753,0.59677734375,-0.19933010334518061,13,6,-0.01614370145966977,-0.06417424250301297,0.033334632284583186,0.6500976562499999,-0.17263774993708975,13,6,0.00042395719371846746,False,False
S3_leave_dataset_out,10,scgpt - hvg_pca,-0.04463471752821169,-0.09140770846156727,-0.0027037181363961113,0.5524088541666666,-0.5231912171033015,13,6,-0.0379391259026824,-0.08391465166323155,0.0022543386677943583,0.8404017857142857,-0.45964455075329597,13,7,0.006695591625529289,False,False
S3_leave_dataset_out,10,scgpt - scvi,-0.049915903780351274,-0.08865776959627446,-0.015073285482163053,0.0515625,-0.7178623096870345,13,4,-0.04666452911661369,-0.08504388616812328,-0.012005265071121044,0.14828725961538464,-0.671713746634533,13,5,0.003251374663737587,False,False
S3_leave_dataset_out,10,scgpt - harmony,0.002839594632365601,-0.04975237023434496,0.05237269670316162,0.83935546875,0.029147883165708485,13,8,0.0028384091827839577,-0.05539363594131982,0.05765721365774136,0.8758491847826086,0.02601830073175406,13,8,-1.1854495816430825e-06,False,False
S3_leave_dataset_out,25,geneformer - hvg_pca,-0.07625455481757831,-0.11748134203908303,-0.036866748005026366,0.0068359375,-0.9857770382298645,13,1,-0.076114133882194,-0.11666185065158069,-0.04000381862675652,0.00390625,-1.0330204717288298,13,1,0.00014042093538431388,False,False
S3_leave_dataset_out,25,geneformer - scvi,-0.07884525858401516,-0.11641356309170521,-0.04563533861019512,0.00439453125,-1.1612396653460135,13,1,-0.07822186875455454,-0.11573765835913777,-0.04607122259388499,0.00390625,-1.1755344163559869,13,1,0.0006233898294606133,False,False
S3_leave_dataset_out,25,geneformer - harmony,-0.037387059013719755,-0.07712919213139649,0.0024486758304402547,0.16155133928571427,-0.49241838012017936,13,3,-0.035906541955713044,-0.07703325626726144,0.005441125887991064,0.16155133928571427,-0.45961264140324587,13,4,0.0014805170580067112,False,False
S3_leave_dataset_out,25,scgpt - hvg_pca,-0.051075923867498735,-0.09280159766890787,-0.0133872047545165,0.12575120192307693,-0.6654268274494758,13,5,-0.051727420420463265,-0.09811171098324088,-0.011853266393710144,0.11484375,-0.627472389664306,13,4,-0.0006514965529645297,False,False
S3_leave_dataset_out,25,scgpt - scvi,-0.053666627633935586,-0.08879888933559409,-0.022551938018032576,0.01171875,-0.8587663959482317,13,2,-0.053835155292823816,-0.09193741866414604,-0.020653113251435002,0.01171875,-0.7983701434524474,13,2,-0.00016852765888823035,False,False
S3_leave_dataset_out,25,scgpt - harmony,-0.012208428063640168,-0.05550744415539682,0.029828868484191185,0.83935546875,-0.14993162877169225,13,7,-0.011519828493982313,-0.05781643294827491,0.03435320439014079,0.8583984375,-0.1298051277320992,13,7,0.0006885995696578554,False,False
S3_leave_dataset_out,50,geneformer - hvg_pca,-0.0830401295531577,-0.12423783578932499,-0.04442520985427991,0.00439453125,-1.0797869319275653,13,1,-0.08134751916732717,-0.12082920495185152,-0.04514022229203364,0.005859375,-1.1130559178235753,13,2,0.0016926103858305314,False,False
S3_leave_dataset_out,50,geneformer - scvi,-0.0832615675163635,-0.12230284097169818,-0.048567050607816416,0.00439453125,-1.1753667152435079,13,1,-0.08474549411179225,-0.12338286326533811,-0.051400531011609824,0.00390625,-1.230408732661526,13,1,-0.0014839265954287445,False,False
