representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,3.13,0.7058690173160614,0.7058690173160614,PAAD_GSE154778,2989,6,0,0.5518876547218222,0.5518876547218222,0.810304449648712
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,0,70,10.0,5,70,768,3.13,0.7058690173160614,0.7058690173160614,STAD_GSE134520,1308,6,0,0.5009347866239632,0.5009347866239632,0.5940366972477065
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,BRCA_GSE161529,6000,10,0,0.6149785137593219,0.6149785137593219,0.6093333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,BRCA_GSE176078,6000,9,0,0.6548609207593776,0.6548609207593776,0.6235
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.7132145490238446,0.7132145490238446,0.5456595264937993
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,CRC_GSE108989,2184,3,0,0.5066280611896177,0.5066280611896177,0.5961538461538461
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,CRC_GSE146771_10X,6000,7,0,0.518807176725521,0.518807176725521,0.5491666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,HNSC_GSE103322,1176,8,0,0.38547536856252823,0.38547536856252823,0.45663265306122447
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,LIHC_GSE140228_10X,5999,9,0,0.7007091684507106,0.7007091684507106,0.669111518586431
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,LIHC_GSE98638,960,3,0,0.5300279800431499,0.5300279800431499,0.63125
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,NSCLC_GSE127465,6000,12,0,0.7696463782990445,0.7696463782990445,0.7681666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,NSCLC_GSE131907,6007,10,0,0.6328827834144151,0.6328827834144151,0.6007990677542867
