dataset,cells,shards,seconds,n_input_genes,n_mapped,frac_mapped
HNSC_GSE103322,5884,6,456.7,18241,16333,0.8954004714653802
PAAD_GSE111672,2263,3,56.9,14235,13788,0.9685985247629083
