contrast,metric,n_datasets,delta_mean,delta_median,ci95_lo,ci95_hi,cohens_dz,wilcoxon_stat,p_raw,ttest_p,n_datasets_favouring_a,n_runs_a,n_runs_b,datasets,scheme,budget,hypothesis,p_fdr,significant_fdr_005,negligible_effect,verdict
geneformer - scvi,macro_f1,13,0.018624447247525346,0.012254634084396088,0.0030500878859104374,0.03598374475911662,0.5839812743567233,16.0,0.039794921875,0.0569779658407099,10,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.08109153891509434,False,True,no detectable difference
geneformer - harmony,macro_f1,13,0.08217137844323273,0.06587734895207265,0.05856094899955964,0.10690661358541656,1.77973127703299,0.0,0.000244140625,3.318442108395851e-05,13,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,100,H1,0.0017578124999999998,True,False,scFM better
scgpt - hvg_pca,macro_f1,13,-0.016212620475473456,0.0029924488419071915,-0.039684599834961705,0.004649571995895856,-0.38110573576711626,40.0,0.7353515625,0.19453332782416163,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,25,H1,0.8359786184210526,False,True,no detectable difference
scgpt - scvi,macro_f1,13,-0.0019174944156611447,0.014800056414916551,-0.021535764106871257,0.015646489392432433,-0.0540593188105406,44.0,0.946044921875,0.8487216444132837,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,25,H1,0.9548864632009346,False,True,no detectable difference
scgpt - harmony,macro_f1,13,0.06754125166245183,0.07338547395863582,0.04083510813284566,0.09299363730064535,1.3593942258359253,3.0,0.001220703125,0.00036510141378324606,12,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,25,H1,0.0042527721774193545,True,False,scFM better
geneformer - hvg_pca,macro_f1,13,-0.009727696689248274,-0.008664434088203943,-0.03286372239871314,0.010855434298323492,-0.23103179208414257,38.0,0.635498046875,0.4211167456679148,6,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,25,H1,0.7460194463315217,False,True,no detectable difference
geneformer - scvi,macro_f1,13,0.00456742937056404,0.012054453529155906,-0.01746357118684382,0.024835425502348865,0.1112681114942031,36.0,0.541748046875,0.6953374071431,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,25,H1,0.6803347565406976,False,True,no detectable difference
geneformer - harmony,macro_f1,13,0.07402617544867701,0.06731869809205338,0.04801144623019356,0.09896381686005658,1.5111523274461793,1.0,0.00048828125,0.00014801257488361027,12,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,25,H1,0.002197265625,True,False,scFM better
scgpt - hvg_pca,macro_f1,13,-0.05935302104964128,-0.015688852066984893,-0.11542943495278597,-0.010414069292784371,-0.5887751361088227,20.0,0.080322265625,0.05525309060718758,3,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,5,H1,0.1495655980603448,False,False,no detectable difference
scgpt - scvi,macro_f1,13,-0.052048198407627456,-0.003720583661826371,-0.10848195017872993,-0.003542172915779141,-0.5186221323873077,30.0,0.305419921875,0.08608045969849881,5,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,5,H1,0.4581298828125,False,False,no detectable difference
