metric,rep,n,mean_diff,ci_lo,ci_hi,dz,p,note,q_bh
absorption,geneformer,7,0.0,0.0,0.0,,1.0,all differences exactly zero,1.0
absorption,scgpt,7,0.0,0.0,0.0,,1.0,all differences exactly zero,1.0
absorption,scvi,7,-0.009677040608975293,-0.02016714275119012,-0.0014744762125471964,-0.6973833504443385,0.015625,,0.125
absorption,harmony,7,0.0,0.0,0.0,,1.0,all differences exactly zero,1.0
auroc,geneformer,7,-0.11968509072633508,-0.3569170016481277,0.1507852533918662,-0.32072482685994175,0.46875,,0.9375
auroc,scgpt,7,-0.15586697488582218,-0.4808815283392054,0.20608060562328845,-0.3025481161932202,0.46875,,0.9375
auroc,scvi,7,0.04337092136505827,-0.015220258314592061,0.11527159509588601,0.4575631048775131,0.21875,,0.875
auroc,harmony,7,0.005956787558595118,-0.05095878919330216,0.07652114228110804,0.0632899014174755,0.9375,,1.0
