dataset,geneformer,scgpt,hvg_pca,gf_minus_hvg,note
HNSC_GSE103322,0.5182958245375505,0.0788614977280046,-0.03460410032559304,0.553,plate-based (Puram 2017) - the outlier
CRC_GSE108989,-0.0778938693680451,-0.0781041113451149,-0.06954834722095045,-0.008,"plate-era, does NOT behave like HNSC"
LIHC_GSE98638,-0.058224848989793763,-0.028335242657779605,-0.07047490106227869,0.012,"plate-era, does NOT behave like HNSC"
