representation,scheme,variant,stratum,coverage,n_class_instances
scgpt,S1_within_dataset,mondrian,1-5%,0.8197556480960723,20
scgpt,S1_within_dataset,mondrian,5-20%,0.8628747510315242,60
scgpt,S1_within_dataset,mondrian,>20%,0.9353583106199528,17
scgpt,S2_leave_donor_out,marginal,<1%,0.21465686274509804,1
scgpt,S2_leave_donor_out,marginal,1-5%,0.8154651078318864,20
scgpt,S2_leave_donor_out,marginal,5-20%,0.8738336505713887,60
scgpt,S2_leave_donor_out,marginal,>20%,0.9321237024337319,17
scgpt,S2_leave_donor_out,mondrian,<1%,0.12102941176470589,1
scgpt,S2_leave_donor_out,mondrian,1-5%,0.795746648887418,20
scgpt,S2_leave_donor_out,mondrian,5-20%,0.846641908817356,60
scgpt,S2_leave_donor_out,mondrian,>20%,0.9241523503059239,17
scgpt,S3_leave_dataset_out,marginal,<1%,0.28336148648648646,1
scgpt,S3_leave_dataset_out,marginal,1-5%,0.7928727026462183,20
scgpt,S3_leave_dataset_out,marginal,5-20%,0.7956821042938874,60
scgpt,S3_leave_dataset_out,marginal,>20%,0.9467330254810923,17
scgpt,S3_leave_dataset_out,mondrian,<1%,0.3952702702702703,1
scgpt,S3_leave_dataset_out,mondrian,1-5%,0.8491813141588643,20
scgpt,S3_leave_dataset_out,mondrian,5-20%,0.8163243577311399,60
scgpt,S3_leave_dataset_out,mondrian,>20%,0.8861804160708595,17
scvi,S1_within_dataset,marginal,<1%,0.28620689655172415,1
scvi,S1_within_dataset,marginal,1-5%,0.830047280095221,20
scvi,S1_within_dataset,marginal,5-20%,0.8541120026182739,60
scvi,S1_within_dataset,marginal,>20%,0.9507958628371223,17
scvi,S1_within_dataset,mondrian,<1%,0.27586206896551724,1
scvi,S1_within_dataset,mondrian,1-5%,0.8420456156977538,20
scvi,S1_within_dataset,mondrian,5-20%,0.855805082811108,60
scvi,S1_within_dataset,mondrian,>20%,0.9387907220625733,17
scvi,S2_leave_donor_out,marginal,<1%,0.17313025210084035,1
scvi,S2_leave_donor_out,marginal,1-5%,0.8202292580769498,20
scvi,S2_leave_donor_out,marginal,5-20%,0.8393135150443624,60
scvi,S2_leave_donor_out,marginal,>20%,0.9525977798371789,17
scvi,S2_leave_donor_out,mondrian,<1%,0.2267436974789916,1
scvi,S2_leave_donor_out,mondrian,1-5%,0.8349599081067696,20
scvi,S2_leave_donor_out,mondrian,5-20%,0.8408268699207279,60
scvi,S2_leave_donor_out,mondrian,>20%,0.9263793444205951,17
scvi,S3_leave_dataset_out,marginal,<1%,0.37229729729729727,1
scvi,S3_leave_dataset_out,marginal,1-5%,0.8657974006482526,20
scvi,S3_leave_dataset_out,marginal,5-20%,0.8112616117870272,60
scvi,S3_leave_dataset_out,marginal,>20%,0.974575548171672,17
scvi,S3_leave_dataset_out,mondrian,<1%,0.4513513513513513,1
scvi,S3_leave_dataset_out,mondrian,1-5%,0.8631791780647138,20
scvi,S3_leave_dataset_out,mondrian,5-20%,0.8253025683608074,60
scvi,S3_leave_dataset_out,mondrian,>20%,0.9220967970067265,17
